,0,1,2
0,False,False,False
1,False,False,False
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,False,False,False
11,False,False,False
12,False,False,False
13,False,False,False
14,False,False,False
15,False,False,False
16,False,False,False
17,False,False,False
18,False,False,False
19,False,False,False
20,False,False,False
21,False,False,False
22,False,False,False
23,False,False,False
24,False,False,False
25,False,False,False
26,False,False,False
27,False,False,False
28,False,False,False
29,False,False,False
30,False,False,False
31,False,False,False
32,False,False,False
33,False,False,False
34,False,False,False
35,False,False,False
36,False,False,False
37,False,False,False
38,False,False,False
39,False,False,False
40,False,False,False
41,False,False,False
42,False,False,False
43,False,False,False
44,False,False,False
45,False,False,False
46,False,False,False
47,False,False,False
48,False,False,False
49,False,False,False
50,False,False,False
51,False,False,False
52,False,False,False
53,False,False,False
54,False,False,False
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,False,False,False
61,False,False,False
62,False,False,False
63,False,False,False
64,False,False,False
65,False,False,False
66,False,False,False
67,False,False,False
68,False,False,False
69,True,False,False
70,True,False,False
71,True,False,False
72,True,False,False
73,True,False,False
74,True,False,False
75,True,False,False
76,True,False,False
77,True,False,False
78,True,False,False
79,True,False,False
80,True,False,False
81,True,False,False
82,True,False,False
83,True,False,False
84,True,False,False
85,True,False,False
86,True,False,False
87,True,False,False
88,True,False,False
89,True,False,False
90,True,False,False
91,True,False,False
92,True,False,False
93,True,False,False
94,True,False,False
95,True,False,False
96,True,False,False
97,True,False,False
98,True,False,False
99,True,False,False
100,True,False,False
101,True,False,False
102,True,False,False
103,True,False,False
104,True,False,False
105,True,False,False
106,True,False,False
107,True,False,False
108,True,False,False
109,True,False,False
110,True,False,False
111,True,False,False
112,True,False,False
113,True,False,False
114,True,False,False
115,True,False,False
116,True,False,False
117,True,False,False
118,True,False,False
119,True,False,False
120,True,False,False
121,True,False,False
122,True,False,False
123,True,False,False
124,True,False,False
125,True,False,False
126,True,False,False
127,True,False,False
128,True,False,False
129,True,False,False
130,True,False,False
131,True,False,False
132,True,False,False
133,True,False,False
134,True,False,False
135,True,False,False
136,True,False,False
137,True,False,False
138,True,True,False
139,True,True,False
140,True,True,False
141,True,True,False
142,True,True,False
143,True,True,False
144,True,True,False
145,True,True,False
146,True,True,False
147,True,True,False
148,True,True,False
149,True,True,False
150,True,True,False
151,True,True,False
152,True,True,False
153,True,True,False
154,True,True,False
155,True,True,False
156,True,True,False
157,True,True,False
158,True,True,False
159,True,True,False
160,True,True,False
161,True,True,False
162,True,True,False
163,True,True,False
164,True,True,False
165,True,True,False
166,True,True,False
167,True,True,False
168,True,True,False
169,True,True,False
170,True,True,False
171,True,True,False
172,True,True,False
173,True,True,False
174,True,True,False
175,True,True,False
176,True,True,False
177,True,True,False
178,True,True,False
179,True,True,False
180,True,True,False
181,True,True,False
182,True,True,False
183,True,True,False
184,True,True,False
185,True,True,False
186,True,True,False
187,True,True,False
188,True,True,False
189,True,True,False
190,True,True,False
191,True,True,False
192,True,True,False
193,True,True,False
194,True,True,False
195,True,True,False
196,True,True,False
197,True,True,False
198,True,True,False
199,True,True,False
200,True,True,False
201,True,True,False
202,True,True,False
203,True,True,False
204,True,True,False
205,True,True,False
206,True,True,True
207,True,True,True
208,True,True,True
209,True,True,True
210,True,True,True
211,True,True,True
212,True,True,True
213,True,True,True
214,True,True,True
215,True,True,True
216,True,True,True
217,True,True,True
218,True,True,True
219,True,True,True
220,True,True,True
221,True,True,True
222,True,True,True
223,True,True,True
224,True,True,True
225,True,True,True
226,True,True,True
227,True,True,True
228,True,True,True
229,True,True,True
230,True,True,True
231,True,True,True
232,True,True,True
233,True,True,True
234,True,True,True
235,True,True,True
236,True,True,True
237,True,True,True
238,True,True,True
239,True,True,True
240,True,True,True
241,True,True,True
242,True,True,True
243,True,True,True
244,True,True,True
245,True,True,True
246,True,True,True
247,True,True,True
248,True,True,True
249,True,True,True
250,True,True,True
251,True,True,True
252,True,True,True
253,True,True,True
254,True,True,True
255,True,True,True
256,True,True,True
257,True,True,True
258,True,True,True
259,True,True,True
260,True,True,True
261,True,True,True
262,True,True,True
263,True,True,True
264,True,True,True
265,True,True,True
266,True,True,True
267,True,True,True
268,True,True,True
269,True,True,True
270,True,True,True
271,True,True,True
272,True,True,True
273,True,True,True
274,True,True,True
